[2026-06-12 16:25:00] 데이터 수신 결과 -> 온도: 2°C | 습도: 39% | 선풍기: OFF | 히터: ON
[2026-06-12 17:47:29] 데이터 수신 결과 -> 온도: 34°C | 습도: 36% | 선풍기: ON | 히터: OFF
[2026-06-12 17:47:29] 데이터 수신 결과 -> 온도: 3°C | 습도: 69% | 선풍기: OFF | 히터: ON
[2026-06-12 17:47:29] 데이터 수신 결과 -> 온도: 14°C | 습도: 42% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:47:29] 데이터 수신 결과 -> 온도: 7°C | 습도: 32% | 선풍기: OFF | 히터: ON
[2026-06-12 17:47:29] 데이터 수신 결과 -> 온도: 5°C | 습도: 31% | 선풍기: OFF | 히터: ON
[2026-06-12 17:47:30] 데이터 수신 결과 -> 온도: 32°C | 습도: 53% | 선풍기: ON | 히터: OFF
[2026-06-12 17:47:30] 데이터 수신 결과 -> 온도: 9°C | 습도: 31% | 선풍기: OFF | 히터: ON
[2026-06-12 17:47:30] 데이터 수신 결과 -> 온도: 11°C | 습도: 76% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:47:30] 데이터 수신 결과 -> 온도: 21°C | 습도: 77% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:47:30] 데이터 수신 결과 -> 온도: 28°C | 습도: 35% | 선풍기: ON | 히터: OFF
[2026-06-12 17:47:31] 데이터 수신 결과 -> 온도: 1°C | 습도: 66% | 선풍기: OFF | 히터: ON
[2026-06-12 17:47:31] 데이터 수신 결과 -> 온도: 5°C | 습도: 32% | 선풍기: OFF | 히터: ON
[2026-06-12 17:47:31] 데이터 수신 결과 -> 온도: 0°C | 습도: 72% | 선풍기: OFF | 히터: ON
[2026-06-12 17:47:31] 데이터 수신 결과 -> 온도: 1°C | 습도: 56% | 선풍기: OFF | 히터: ON
[2026-06-12 17:47:32] 데이터 수신 결과 -> 온도: 25°C | 습도: 43% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:47:32] 데이터 수신 결과 -> 온도: 7°C | 습도: 39% | 선풍기: OFF | 히터: ON
[2026-06-12 17:47:32] 데이터 수신 결과 -> 온도: 8°C | 습도: 66% | 선풍기: OFF | 히터: ON
[2026-06-12 17:47:32] 데이터 수신 결과 -> 온도: 15°C | 습도: 59% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:47:32] 데이터 수신 결과 -> 온도: 14°C | 습도: 58% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:47:33] 데이터 수신 결과 -> 온도: 8°C | 습도: 61% | 선풍기: OFF | 히터: ON
[2026-06-12 17:47:33] 데이터 수신 결과 -> 온도: 6°C | 습도: 79% | 선풍기: OFF | 히터: ON
[2026-06-12 17:47:33] 데이터 수신 결과 -> 온도: 30°C | 습도: 80% | 선풍기: ON | 히터: OFF
[2026-06-12 17:47:33] 데이터 수신 결과 -> 온도: 19°C | 습도: 36% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:47:34] 데이터 수신 결과 -> 온도: 22°C | 습도: 63% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:47:34] 데이터 수신 결과 -> 온도: 31°C | 습도: 74% | 선풍기: ON | 히터: OFF
[2026-06-12 17:47:34] 데이터 수신 결과 -> 온도: 13°C | 습도: 75% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:47:34] 데이터 수신 결과 -> 온도: 23°C | 습도: 37% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:47:34] 데이터 수신 결과 -> 온도: 24°C | 습도: 65% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:47:35] 데이터 수신 결과 -> 온도: 14°C | 습도: 67% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:47:35] 데이터 수신 결과 -> 온도: 32°C | 습도: 57% | 선풍기: ON | 히터: OFF
[2026-06-12 17:47:35] 데이터 수신 결과 -> 온도: 0°C | 습도: 47% | 선풍기: OFF | 히터: ON
[2026-06-12 17:47:35] 데이터 수신 결과 -> 온도: 3°C | 습도: 41% | 선풍기: OFF | 히터: ON
[2026-06-12 17:47:35] 데이터 수신 결과 -> 온도: 35°C | 습도: 44% | 선풍기: ON | 히터: OFF
[2026-06-12 17:47:36] 데이터 수신 결과 -> 온도: 7°C | 습도: 52% | 선풍기: OFF | 히터: ON
[2026-06-12 17:47:36] 데이터 수신 결과 -> 온도: 11°C | 습도: 53% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:47:36] 데이터 수신 결과 -> 온도: 7°C | 습도: 55% | 선풍기: OFF | 히터: ON
[2026-06-12 17:47:36] 데이터 수신 결과 -> 온도: 4°C | 습도: 44% | 선풍기: OFF | 히터: ON
[2026-06-12 17:47:36] 데이터 수신 결과 -> 온도: 10°C | 습도: 30% | 선풍기: OFF | 히터: ON
[2026-06-12 17:47:37] 데이터 수신 결과 -> 온도: 31°C | 습도: 58% | 선풍기: ON | 히터: OFF
[2026-06-12 17:47:39] 데이터 수신 결과 -> 온도: 28°C | 습도: 71% | 선풍기: ON | 히터: OFF
[2026-06-12 17:47:44] 데이터 수신 결과 -> 온도: 7°C | 습도: 71% | 선풍기: OFF | 히터: ON
[2026-06-12 17:47:49] 데이터 수신 결과 -> 온도: 13°C | 습도: 43% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:47:54] 데이터 수신 결과 -> 온도: 31°C | 습도: 40% | 선풍기: ON | 히터: OFF
[2026-06-12 17:47:59] 데이터 수신 결과 -> 온도: 1°C | 습도: 62% | 선풍기: OFF | 히터: ON
[2026-06-12 17:48:04] 데이터 수신 결과 -> 온도: 26°C | 습도: 78% | 선풍기: ON | 히터: OFF
[2026-06-12 17:48:09] 데이터 수신 결과 -> 온도: 25°C | 습도: 49% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:48:14] 데이터 수신 결과 -> 온도: 27°C | 습도: 75% | 선풍기: ON | 히터: OFF
[2026-06-12 17:48:19] 데이터 수신 결과 -> 온도: 5°C | 습도: 62% | 선풍기: OFF | 히터: ON
